"Ukazatel","IndicatorType","Takticko statistická klasifikace kriminality Police ČR","TSKKC","Území","Uz02","Roky","CasR","Hodnota"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2010","2010","1888"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2011","2011","1875"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2012","2012","1911"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2013","2013","1902"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2014","2014","1754"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2015","2015","1774"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2016","2016","1713"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2017","2017","1533"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2018","2018","1422"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2019","2019","1351"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2020","2020","1211"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2021","2021","1084"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2022","2022","1103"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2023","2023","1141"
"Počet objasněných skutků","6065","Násilná kriminalita","100-199","Moravskoslezský kraj","CZ080","2024","2024","1171"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2000","2000","1856"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2001","2001","1955"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2002","2002","2046"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2003","2003","1898"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2004","2004","1909"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2005","2005","1849"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2006","2006","1615"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2007","2007","1689"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2008","2008","1680"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2009","2009","1730"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2010","2010","1811"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2011","2011","2086"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2012","2012","1981"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2013","2013","2109"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2014","2014","2205"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2015","2015","2256"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2016","2016","2241"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2017","2017","2363"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2018","2018","2655"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2019","2019","2733"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2020","2020","2605"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2021","2021","3049"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2022","2022","3290"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2023","2023","3201"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Česko","CZ","2024","2024","3396"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2005","2005","253"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2006","2006","217"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2007","2007","192"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2008","2008","165"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2009","2009","183"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2010","2010","207"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2011","2011","233"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2012","2012","238"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2013","2013","274"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2014","2014","332"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2015","2015","327"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2016","2016","318"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2017","2017","310"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2018","2018","354"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2019","2019","348"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2020","2020","343"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2021","2021","397"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2022","2022","444"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2023","2023","431"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Hlavní město Praha","CZ010","2024","2024","437"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2005","2005","180"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2006","2006","154"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2007","2007","191"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2008","2008","175"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2009","2009","153"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2010","2010","193"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2011","2011","198"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2012","2012","213"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2013","2013","216"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2014","2014","191"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2015","2015","239"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2016","2016","209"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2017","2017","251"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2018","2018","247"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2019","2019","266"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2020","2020","243"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2021","2021","311"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2022","2022","311"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2023","2023","315"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Středočeský kraj","CZ020","2024","2024","340"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2005","2005","125"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2006","2006","99"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2007","2007","87"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2008","2008","103"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2009","2009","129"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2010","2010","117"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2011","2011","137"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2012","2012","124"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2013","2013","121"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2014","2014","112"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2015","2015","132"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2016","2016","116"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2017","2017","171"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2018","2018","154"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2019","2019","182"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2020","2020","137"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2021","2021","190"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2022","2022","206"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2023","2023","252"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihočeský kraj","CZ031","2024","2024","209"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2005","2005","98"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2006","2006","113"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2007","2007","94"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2008","2008","69"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2009","2009","78"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2010","2010","96"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2011","2011","82"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2012","2012","73"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2013","2013","109"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2014","2014","107"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2015","2015","104"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2016","2016","127"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2017","2017","116"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2018","2018","161"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2019","2019","142"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2020","2020","172"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2021","2021","179"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2022","2022","160"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2023","2023","183"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Plzeňský kraj","CZ032","2024","2024","196"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2005","2005","108"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2006","2006","64"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2007","2007","70"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2008","2008","57"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2009","2009","55"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2010","2010","61"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2011","2011","82"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2012","2012","76"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2013","2013","89"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2014","2014","80"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2015","2015","84"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2016","2016","67"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2017","2017","66"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2018","2018","71"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2019","2019","91"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2020","2020","82"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2021","2021","98"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2022","2022","90"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2023","2023","86"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Karlovarský kraj","CZ041","2024","2024","78"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2005","2005","203"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2006","2006","186"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2007","2007","196"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2008","2008","224"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2009","2009","177"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2010","2010","163"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2011","2011","186"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2012","2012","262"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2013","2013","195"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2014","2014","221"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2015","2015","227"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2016","2016","226"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2017","2017","232"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2018","2018","267"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2019","2019","286"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2020","2020","289"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2021","2021","379"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2022","2022","413"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2023","2023","475"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Ústecký kraj","CZ042","2024","2024","501"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2005","2005","127"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2006","2006","126"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2007","2007","150"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2008","2008","112"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2009","2009","115"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2010","2010","188"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2011","2011","246"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2012","2012","118"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2013","2013","115"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2014","2014","127"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2015","2015","121"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2016","2016","108"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2017","2017","126"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2018","2018","123"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2019","2019","134"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2020","2020","147"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2021","2021","195"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2022","2022","170"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2023","2023","176"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Liberecký kraj","CZ051","2024","2024","172"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2005","2005","89"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2006","2006","85"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2007","2007","73"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2008","2008","111"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2009","2009","84"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2010","2010","95"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2011","2011","118"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2012","2012","99"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2013","2013","131"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2014","2014","129"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2015","2015","169"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2016","2016","175"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2017","2017","142"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2018","2018","183"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2019","2019","187"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2020","2020","150"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2021","2021","145"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2022","2022","164"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2023","2023","170"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Královéhradecký kraj","CZ052","2024","2024","166"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2005","2005","70"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2006","2006","61"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2007","2007","76"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2008","2008","76"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2009","2009","69"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2010","2010","72"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2011","2011","84"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2012","2012","86"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2013","2013","108"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2014","2014","103"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2015","2015","127"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2016","2016","107"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2017","2017","118"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2018","2018","118"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2019","2019","98"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2020","2020","116"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2021","2021","138"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2022","2022","137"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2023","2023","123"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Pardubický kraj","CZ053","2024","2024","161"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2005","2005","67"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2006","2006","63"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2007","2007","43"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2008","2008","61"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2009","2009","95"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2010","2010","66"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2011","2011","75"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2012","2012","76"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2013","2013","91"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2014","2014","106"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2015","2015","82"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2016","2016","90"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2017","2017","78"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2018","2018","116"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2019","2019","127"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2020","2020","123"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2021","2021","139"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2022","2022","130"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2023","2023","136"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Kraj Vysočina","CZ063","2024","2024","145"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2005","2005","135"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2006","2006","130"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2007","2007","120"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2008","2008","147"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2009","2009","195"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2010","2010","160"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2011","2011","193"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2012","2012","174"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2013","2013","198"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2014","2014","239"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2015","2015","206"
"Počet registrovaných skutků","6068","Mravnostní kriminalita","200-299","Jihomoravský kraj","CZ064","2016","2016","245"
