"Ukazatel","IndicatorType","Takticko statistická klasifikace kriminality Police ČR","TSKKC","Území","Uz02","Roky","CasR","Hodnota"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2014","2014","31118"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2015","2015","25442"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2016","2016","22124"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2017","2017","20424"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2018","2018","19210"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2019","2019","20428"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2020","2020","18091"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2021","2021","17625"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2022","2022","19775"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2023","2023","20594"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Středočeský kraj","CZ020","2024","2024","19033"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2005","2005","16850"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2006","2006","16205"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2007","2007","15834"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2008","2008","15928"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2009","2009","14283"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2010","2010","15298"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2011","2011","14820"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2012","2012","14005"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2013","2013","15020"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2014","2014","14683"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2015","2015","12595"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2016","2016","10816"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2017","2017","9662"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2018","2018","8861"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2019","2019","9229"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2020","2020","7947"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2021","2021","7484"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2022","2022","8916"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2023","2023","8917"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Jihočeský kraj","CZ031","2024","2024","8111"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2005","2005","15236"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2006","2006","13986"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2007","2007","15421"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2008","2008","15153"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2009","2009","14296"
