idRegistration, startTime, idValueType, value
40820, 2026-03-06T13:00:00Z, 8, 96.6
40821, 2026-03-06T13:00:00Z, 8, 12.8
40822, 2026-03-06T13:00:00Z, 8, 25.8
40835, 2026-03-06T13:00:00Z, 8, 1.46
40837, 2026-03-06T13:00:00Z, 8, 1.59
40838, 2026-03-06T13:00:00Z, 8, 296.0
40839, 2026-03-06T13:00:00Z, 8, 99.6
40840, 2026-03-06T13:00:00Z, 8, 1.99
40841, 2026-03-06T13:00:00Z, 8, 10.0
40845, 2026-03-06T13:00:00Z, 8, 98.2
40848, 2026-03-06T13:00:00Z, 8, 37.2
40851, 2026-03-06T13:00:00Z, 8, 30.4
40852, 2026-03-06T13:00:00Z, 8, 525.0
40853, 2026-03-06T13:00:00Z, 8, 46.7
40854, 2026-03-06T13:00:00Z, 8, 42.6
40878, 2026-03-06T13:00:00Z, 8, 90.8
40880, 2026-03-06T13:00:00Z, 8, 21.0
40885, 2026-03-06T13:00:00Z, 8, 16.0
40902, 2026-03-06T13:00:00Z, 8, 10.9
40904, 2026-03-06T13:00:00Z, 8, 83.4
40905, 2026-03-06T13:00:00Z, 8, 12.2
40918, 2026-03-06T13:00:00Z, 8, 103.3
40920, 2026-03-06T13:00:00Z, 8, 14.6
40992, 2026-03-06T13:00:00Z, 6, -5003.0
40994, 2026-03-06T13:00:00Z, 6, -5003.0
40996, 2026-03-06T13:00:00Z, 6, -5003.0
40997, 2026-03-06T13:00:00Z, 8, 61.6
41007, 2026-03-06T13:00:00Z, 8, 26.6
41008, 2026-03-06T13:00:00Z, 8, 1.3
41010, 2026-03-06T13:00:00Z, 8, 8.0
41012, 2026-03-06T13:00:00Z, 8, 9.6
41028, 2026-03-06T13:00:00Z, 8, 10.5
41029, 2026-03-06T13:00:00Z, 8, 11.9
41030, 2026-03-06T13:00:00Z, 8, 22.5
41037, 2026-03-06T13:00:00Z, 8, 94.0
41043, 2026-03-06T13:00:00Z, 8, 62.4
41045, 2026-03-06T13:00:00Z, 8, 27.0
41050, 2026-03-06T13:00:00Z, 8, 31.5
41056, 2026-03-06T13:00:00Z, 8, 1.3
41058, 2026-03-06T13:00:00Z, 8, 24.7
41059, 2026-03-06T13:00:00Z, 8, 32.5
41060, 2026-03-06T13:00:00Z, 8, 24.2
41090, 2026-03-06T13:00:00Z, 8, 1.3
41093, 2026-03-06T13:00:00Z, 8, 91.4
41095, 2026-03-06T13:00:00Z, 8, 18.1
41101, 2026-03-06T13:00:00Z, 8, 17.0
41139, 2026-03-06T13:00:00Z, 8, 10.1
41140, 2026-03-06T13:00:00Z, 8, 13.2
41141, 2026-03-06T13:00:00Z, 8, 16.0
41144, 2026-03-06T13:00:00Z, 8, 29.1
41145, 2026-03-06T13:00:00Z, 8, 18.4
41146, 2026-03-06T13:00:00Z, 8, 27.7
41151, 2026-03-06T13:00:00Z, 8, 21.1
41156, 2026-03-06T13:00:00Z, 8, 87.6
41157, 2026-03-06T13:00:00Z, 8, 51.1
41158, 2026-03-06T13:00:00Z, 8, 729.0
41171, 2026-03-06T13:00:00Z, 8, 97.8
41172, 2026-03-06T13:00:00Z, 8, 434.508
41179, 2026-03-06T13:00:00Z, 8, 22.9
41180, 2026-03-06T13:00:00Z, 8, 18.3
41181, 2026-03-06T13:00:00Z, 8, 9.0
41182, 2026-03-06T13:00:00Z, 8, 11.3
41224, 2026-03-06T13:00:00Z, 8, 6.7
